23384.136693561777 -4193.0 [2.0, 4.0, 8.0, 12.0, 14.0, 22.0, 15.0, 10.0, 21.0, 11.0, 13.0, 7.0, 23.0, 1.0, 19.0, 25.0, 29.0, 18.0, 16.0, 26.0, 28.0, 27.0, 9.0, 5.0, 6.0, 17.0, 24.0, 20.0, 3.0]
24058.097040637786 -4319.0 [26.0, 6.0, 17.0, 27.0, 23.0, 25.0, 1.0, 9.0, 28.0, 24.0, 11.0, 18.0, 3.0, 13.0, 14.0, 2.0, 20.0, 15.0, 10.0, 21.0, 16.0, 7.0, 22.0, 8.0, 5.0, 29.0, 19.0, 12.0, 4.0]
26010.057048301693 -4674.0 [17.0, 15.0, 20.0, 5.0, 24.0, 10.0, 8.0, 16.0, 14.0, 6.0, 13.0, 19.0, 1.0, 7.0, 28.0, 11.0, 4.0, 12.0, 25.0, 2.0, 22.0, 26.0, 3.0, 29.0, 21.0, 27.0, 18.0, 9.0, 23.0]
26003.246099845353 -4666.0 [4.0, 24.0, 12.0, 3.0, 7.0, 11.0, 1.0, 18.0, 10.0, 20.0, 27.0, 2.0, 13.0, 14.0, 15.0, 17.0, 16.0, 29.0, 23.0, 25.0, 5.0, 21.0, 28.0, 26.0, 6.0, 8.0, 22.0, 9.0, 19.0]
28009.521104883683 -5025.0 [15.0, 8.0, 16.0, 9.0, 1.0, 29.0, 22.0, 24.0, 12.0, 20.0, 25.0, 6.0, 4.0, 7.0, 11.0, 28.0, 27.0, 14.0, 3.0, 10.0, 26.0, 19.0, 2.0, 17.0, 21.0, 5.0, 13.0, 18.0, 23.0]
25858.37534689671 -4647.0 [20.0, 17.0, 5.0, 23.0, 13.0, 25.0, 16.0, 19.0, 9.0, 29.0, 24.0, 12.0, 7.0, 18.0, 8.0, 1.0, 2.0, 6.0, 28.0, 11.0, 21.0, 10.0, 3.0, 22.0, 15.0, 26.0, 14.0, 4.0, 27.0]
27804.78688960303 -4985.0 [6.0, 11.0, 17.0, 28.0, 16.0, 2.0, 3.0, 7.0, 26.0, 15.0, 14.0, 23.0, 4.0, 5.0, 24.0, 1.0, 13.0, 8.0, 21.0, 18.0, 20.0, 29.0, 22.0, 19.0, 27.0, 12.0, 25.0, 9.0, 10.0]
23665.09782499857 -4241.0 [23.0, 20.0, 1.0, 8.0, 9.0, 17.0, 29.0, 3.0, 2.0, 22.0, 19.0, 21.0, 26.0, 10.0, 11.0, 4.0, 15.0, 6.0, 5.0, 25.0, 13.0, 14.0, 27.0, 28.0, 24.0, 16.0, 12.0, 18.0, 7.0]
21056.915173812893 -3766.0 [26.0, 24.0, 20.0, 16.0, 25.0, 21.0, 5.0, 4.0, 2.0, 17.0, 13.0, 10.0, 19.0, 15.0, 9.0, 12.0, 8.0, 23.0, 3.0, 29.0, 6.0, 28.0, 27.0, 14.0, 18.0, 7.0, 22.0, 11.0, 1.0]
24016.986026887073 -4307.0 [7.0, 2.0, 9.0, 28.0, 8.0, 27.0, 17.0, 13.0, 24.0, 19.0, 4.0, 11.0, 21.0, 23.0, 20.0, 29.0, 14.0, 3.0, 16.0, 6.0, 25.0, 5.0, 26.0, 10.0, 12.0, 1.0, 15.0, 18.0, 22.0]
27174.199484156594 -4877.0 [22.0, 23.0, 9.0, 17.0, 3.0, 15.0, 16.0, 21.0, 1.0, 14.0, 28.0, 25.0, 4.0, 11.0, 18.0, 6.0, 27.0, 8.0, 5.0, 19.0, 20.0, 26.0, 24.0, 29.0, 2.0, 13.0, 12.0, 7.0, 10.0]
25509.914351116524 -4585.0 [19.0, 11.0, 4.0, 27.0, 1.0, 10.0, 13.0, 18.0, 24.0, 23.0, 5.0, 16.0, 3.0, 14.0, 28.0, 21.0, 26.0, 20.0, 12.0, 22.0, 17.0, 29.0, 15.0, 2.0, 7.0, 8.0, 9.0, 6.0, 25.0]
23884.070620782804 -4291.0 [12.0, 29.0, 23.0, 26.0, 18.0, 9.0, 25.0, 4.0, 20.0, 19.0, 13.0, 21.0, 6.0, 10.0, 5.0, 8.0, 7.0, 2.0, 11.0, 22.0, 17.0, 3.0, 15.0, 14.0, 28.0, 16.0, 27.0, 24.0, 1.0]
25789.288153669848 -4626.0 [25.0, 13.0, 8.0, 19.0, 11.0, 3.0, 18.0, 5.0, 20.0, 7.0, 22.0, 21.0, 2.0, 15.0, 29.0, 26.0, 17.0, 6.0, 4.0, 9.0, 12.0, 16.0, 14.0, 28.0, 24.0, 10.0, 27.0, 23.0, 1.0]
22211.61870222253 -3983.0 [25.0, 7.0, 15.0, 3.0, 26.0, 17.0, 20.0, 5.0, 29.0, 19.0, 23.0, 8.0, 9.0, 27.0, 1.0, 14.0, 10.0, 2.0, 11.0, 18.0, 4.0, 12.0, 22.0, 13.0, 16.0, 24.0, 6.0, 21.0, 28.0]
29243.59134375894 -5260.0 [28.0, 4.0, 20.0, 13.0, 22.0, 1.0, 11.0, 24.0, 18.0, 8.0, 23.0, 12.0, 19.0, 5.0, 26.0, 2.0, 15.0, 3.0, 10.0, 21.0, 25.0, 9.0, 16.0, 14.0, 6.0, 17.0, 29.0, 7.0, 27.0]
25524.806316687936 -4587.0 [10.0, 5.0, 3.0, 17.0, 19.0, 1.0, 13.0, 15.0, 18.0, 28.0, 4.0, 9.0, 16.0, 11.0, 26.0, 14.0, 27.0, 23.0, 6.0, 29.0, 22.0, 2.0, 24.0, 8.0, 25.0, 7.0, 21.0, 20.0, 12.0]
24036.81514427246 -4315.0 [18.0, 16.0, 13.0, 21.0, 14.0, 19.0, 17.0, 29.0, 25.0, 4.0, 3.0, 22.0, 15.0, 10.0, 1.0, 11.0, 12.0, 5.0, 26.0, 24.0, 27.0, 8.0, 23.0, 2.0, 9.0, 7.0, 20.0, 6.0, 28.0]
29513.386521712495 -5289.0 [6.0, 8.0, 11.0, 21.0, 28.0, 2.0, 22.0, 27.0, 15.0, 24.0, 10.0, 9.0, 19.0, 1.0, 3.0, 14.0, 23.0, 4.0, 5.0, 13.0, 26.0, 20.0, 25.0, 29.0, 17.0, 12.0, 18.0, 16.0, 7.0]
30443.802630311853 -5460.0 [11.0, 27.0, 16.0, 4.0, 9.0, 23.0, 10.0, 24.0, 25.0, 6.0, 14.0, 28.0, 18.0, 21.0, 8.0, 26.0, 17.0, 12.0, 22.0, 3.0, 7.0, 20.0, 1.0, 13.0, 2.0, 29.0, 19.0, 15.0, 5.0]
28522.922302017618 -5112.0 [11.0, 21.0, 17.0, 3.0, 6.0, 1.0, 28.0, 27.0, 7.0, 29.0, 10.0, 5.0, 25.0, 12.0, 4.0, 8.0, 19.0, 13.0, 9.0, 15.0, 2.0, 18.0, 23.0, 14.0, 26.0, 24.0, 22.0, 20.0, 16.0]
24675.77739272157 -4433.0 [17.0, 6.0, 5.0, 3.0, 20.0, 8.0, 19.0, 25.0, 16.0, 2.0, 21.0, 10.0, 23.0, 27.0, 7.0, 12.0, 26.0, 18.0, 1.0, 11.0, 4.0, 9.0, 22.0, 24.0, 28.0, 13.0, 15.0, 29.0, 14.0]
26110.74920809776 -4690.0 [18.0, 20.0, 2.0, 1.0, 11.0, 14.0, 5.0, 10.0, 29.0, 22.0, 6.0, 27.0, 23.0, 15.0, 17.0, 7.0, 8.0, 16.0, 9.0, 28.0, 24.0, 26.0, 19.0, 3.0, 25.0, 12.0, 4.0, 13.0, 21.0]
21541.40925167307 -3856.0 [12.0, 23.0, 29.0, 26.0, 14.0, 22.0, 2.0, 6.0, 5.0, 11.0, 16.0, 15.0, 3.0, 9.0, 20.0, 21.0, 1.0, 18.0, 17.0, 10.0, 4.0, 19.0, 24.0, 7.0, 13.0, 27.0, 8.0, 25.0, 28.0]
23504.044997110555 -4214.0 [27.0, 29.0, 25.0, 13.0, 20.0, 2.0, 24.0, 7.0, 8.0, 5.0, 6.0, 19.0, 11.0, 28.0, 9.0, 26.0, 4.0, 17.0, 22.0, 23.0, 10.0, 15.0, 18.0, 12.0, 1.0, 14.0, 3.0, 21.0, 16.0]
23333.663156273047 -4188.0 [8.0, 13.0, 20.0, 15.0, 18.0, 19.0, 22.0, 9.0, 21.0, 24.0, 14.0, 5.0, 17.0, 2.0, 16.0, 11.0, 3.0, 10.0, 25.0, 7.0, 23.0, 4.0, 26.0, 1.0, 27.0, 6.0, 28.0, 29.0, 12.0]
21406.996922954324 -3843.0 [4.0, 27.0, 25.0, 7.0, 16.0, 22.0, 3.0, 29.0, 20.0, 21.0, 11.0, 28.0, 24.0, 8.0, 23.0, 14.0, 10.0, 15.0, 26.0, 6.0, 2.0, 13.0, 9.0, 1.0, 5.0, 12.0, 18.0, 19.0, 17.0]
22961.620659999422 -4101.0 [18.0, 17.0, 14.0, 11.0, 26.0, 4.0, 19.0, 21.0, 22.0, 23.0, 6.0, 5.0, 13.0, 2.0, 10.0, 8.0, 3.0, 24.0, 25.0, 20.0, 9.0, 28.0, 1.0, 12.0, 7.0, 16.0, 27.0, 15.0, 29.0]
30609.66202563697 -5496.0 [5.0, 17.0, 8.0, 25.0, 12.0, 27.0, 18.0, 21.0, 2.0, 4.0, 24.0, 10.0, 13.0, 29.0, 7.0, 26.0, 28.0, 22.0, 23.0, 11.0, 3.0, 16.0, 20.0, 1.0, 19.0, 9.0, 15.0, 14.0, 6.0]
24782.24436587546 -4448.0 [20.0, 11.0, 25.0, 24.0, 27.0, 10.0, 17.0, 26.0, 15.0, 18.0, 9.0, 1.0, 16.0, 7.0, 14.0, 6.0, 28.0, 12.0, 22.0, 21.0, 2.0, 3.0, 19.0, 5.0, 8.0, 29.0, 13.0, 4.0, 23.0]
27748.89359356058 -4984.0 [21.0, 25.0, 5.0, 12.0, 11.0, 1.0, 14.0, 15.0, 22.0, 24.0, 19.0, 27.0, 10.0, 3.0, 7.0, 13.0, 6.0, 17.0, 2.0, 26.0, 16.0, 28.0, 9.0, 18.0, 8.0, 23.0, 20.0, 4.0, 29.0]
27336.81778102789 -4902.0 [29.0, 15.0, 28.0, 25.0, 10.0, 14.0, 26.0, 12.0, 17.0, 9.0, 18.0, 11.0, 19.0, 2.0, 5.0, 23.0, 21.0, 13.0, 4.0, 3.0, 7.0, 20.0, 8.0, 27.0, 1.0, 6.0, 22.0, 24.0, 16.0]
25167.421201519766 -4512.0 [27.0, 9.0, 22.0, 19.0, 7.0, 16.0, 10.0, 2.0, 29.0, 24.0, 18.0, 20.0, 23.0, 28.0, 26.0, 11.0, 4.0, 5.0, 12.0, 17.0, 15.0, 21.0, 8.0, 25.0, 13.0, 1.0, 14.0, 3.0, 6.0]
23315.400331409845 -4182.0 [16.0, 26.0, 1.0, 11.0, 27.0, 24.0, 6.0, 5.0, 29.0, 21.0, 8.0, 28.0, 4.0, 12.0, 7.0, 23.0, 18.0, 25.0, 10.0, 22.0, 9.0, 2.0, 3.0, 19.0, 14.0, 13.0, 20.0, 15.0, 17.0]
25370.506953490367 -4552.0 [8.0, 6.0, 27.0, 10.0, 25.0, 9.0, 28.0, 7.0, 15.0, 11.0, 12.0, 26.0, 17.0, 21.0, 13.0, 29.0, 1.0, 20.0, 22.0, 18.0, 3.0, 16.0, 5.0, 24.0, 23.0, 2.0, 14.0, 4.0, 19.0]
25308.194844217713 -4545.0 [10.0, 13.0, 14.0, 12.0, 6.0, 28.0, 4.0, 26.0, 19.0, 5.0, 25.0, 1.0, 21.0, 22.0, 11.0, 16.0, 27.0, 8.0, 29.0, 24.0, 7.0, 18.0, 15.0, 9.0, 17.0, 23.0, 2.0, 20.0, 3.0]
22535.999060794496 -4034.0 [24.0, 28.0, 7.0, 22.0, 6.0, 1.0, 10.0, 13.0, 8.0, 15.0, 4.0, 11.0, 23.0, 12.0, 27.0, 19.0, 29.0, 5.0, 21.0, 16.0, 17.0, 9.0, 2.0, 25.0, 18.0, 14.0, 20.0, 3.0, 26.0]
27866.97116623783 -5005.0 [28.0, 22.0, 6.0, 17.0, 2.0, 1.0, 20.0, 7.0, 12.0, 5.0, 9.0, 18.0, 16.0, 14.0, 8.0, 21.0, 25.0, 23.0, 29.0, 4.0, 26.0, 19.0, 3.0, 10.0, 13.0, 24.0, 27.0, 11.0, 15.0]
24134.05890191032 -4328.0 [8.0, 11.0, 20.0, 5.0, 4.0, 17.0, 14.0, 15.0, 27.0, 2.0, 26.0, 29.0, 12.0, 25.0, 16.0, 10.0, 18.0, 24.0, 7.0, 22.0, 28.0, 13.0, 21.0, 9.0, 23.0, 3.0, 19.0, 6.0, 1.0]
22989.72013219935 -4119.0 [24.0, 5.0, 1.0, 23.0, 13.0, 3.0, 17.0, 18.0, 2.0, 15.0, 26.0, 22.0, 11.0, 12.0, 6.0, 21.0, 27.0, 28.0, 7.0, 20.0, 4.0, 16.0, 25.0, 10.0, 19.0, 14.0, 29.0, 9.0, 8.0]
25255.670139852307 -4537.0 [3.0, 25.0, 27.0, 11.0, 28.0, 19.0, 20.0, 18.0, 15.0, 29.0, 26.0, 12.0, 24.0, 14.0, 16.0, 4.0, 6.0, 23.0, 22.0, 7.0, 2.0, 5.0, 13.0, 10.0, 21.0, 8.0, 1.0, 17.0, 9.0]
22027.033225586954 -3938.0 [4.0, 17.0, 18.0, 10.0, 5.0, 16.0, 26.0, 12.0, 24.0, 22.0, 20.0, 19.0, 25.0, 1.0, 3.0, 29.0, 23.0, 28.0, 11.0, 14.0, 2.0, 15.0, 13.0, 27.0, 7.0, 8.0, 9.0, 6.0, 21.0]
26403.565062901795 -4744.0 [21.0, 16.0, 3.0, 18.0, 14.0, 15.0, 28.0, 22.0, 2.0, 5.0, 25.0, 13.0, 19.0, 10.0, 12.0, 26.0, 17.0, 29.0, 9.0, 11.0, 1.0, 4.0, 24.0, 6.0, 7.0, 27.0, 23.0, 20.0, 8.0]
24734.50422630623 -4445.0 [22.0, 21.0, 12.0, 24.0, 28.0, 27.0, 6.0, 25.0, 1.0, 11.0, 16.0, 13.0, 26.0, 8.0, 23.0, 10.0, 18.0, 19.0, 7.0, 15.0, 2.0, 29.0, 14.0, 20.0, 5.0, 4.0, 9.0, 17.0, 3.0]
26443.960622024766 -4758.0 [26.0, 2.0, 28.0, 17.0, 23.0, 19.0, 27.0, 6.0, 22.0, 15.0, 18.0, 21.0, 12.0, 11.0, 3.0, 14.0, 1.0, 24.0, 13.0, 5.0, 25.0, 4.0, 10.0, 16.0, 7.0, 9.0, 8.0, 29.0, 20.0]
24268.43357531749 -4355.0 [26.0, 1.0, 19.0, 2.0, 22.0, 24.0, 23.0, 25.0, 9.0, 10.0, 18.0, 13.0, 8.0, 7.0, 28.0, 6.0, 29.0, 14.0, 27.0, 15.0, 4.0, 11.0, 16.0, 5.0, 21.0, 12.0, 17.0, 20.0, 3.0]
