2700.492056302126 -2940.0 [28.0, 9.0, 19.0, 2.0, 30.0, 1.0, 33.0, 21.0, 24.0, 37.0, 31.0, 22.0, 36.0, 42.0, 18.0, 13.0, 29.0, 23.0, 12.0, 39.0, 3.0, 35.0, 8.0, 27.0, 26.0, 25.0, 6.0, 15.0, 17.0, 34.0, 41.0, 10.0, 7.0, 32.0, 38.0, 4.0, 5.0, 20.0, 11.0, 16.0, 14.0, 40.0]
2824.5152592589093 -3061.0 [29.0, 22.0, 11.0, 4.0, 41.0, 28.0, 23.0, 31.0, 24.0, 7.0, 1.0, 36.0, 21.0, 26.0, 34.0, 13.0, 19.0, 16.0, 40.0, 9.0, 20.0, 39.0, 8.0, 10.0, 17.0, 2.0, 3.0, 6.0, 14.0, 30.0, 42.0, 25.0, 27.0, 32.0, 5.0, 35.0, 18.0, 33.0, 12.0, 15.0, 38.0, 37.0]
2721.2699883680807 -2949.0 [11.0, 7.0, 4.0, 36.0, 10.0, 35.0, 17.0, 32.0, 33.0, 23.0, 9.0, 6.0, 37.0, 21.0, 28.0, 40.0, 25.0, 29.0, 34.0, 39.0, 19.0, 22.0, 20.0, 18.0, 8.0, 5.0, 30.0, 27.0, 14.0, 1.0, 38.0, 42.0, 2.0, 15.0, 41.0, 12.0, 13.0, 31.0, 3.0, 16.0, 26.0, 24.0]
2893.0135357198874 -3144.0 [9.0, 5.0, 31.0, 3.0, 21.0, 11.0, 25.0, 38.0, 39.0, 30.0, 15.0, 7.0, 32.0, 16.0, 33.0, 8.0, 41.0, 23.0, 35.0, 14.0, 42.0, 27.0, 28.0, 26.0, 37.0, 19.0, 13.0, 36.0, 29.0, 20.0, 24.0, 6.0, 1.0, 10.0, 2.0, 4.0, 40.0, 12.0, 17.0, 18.0, 34.0, 22.0]
2845.893298285463 -3087.0 [1.0, 26.0, 11.0, 35.0, 31.0, 22.0, 21.0, 41.0, 33.0, 13.0, 38.0, 7.0, 15.0, 19.0, 42.0, 29.0, 3.0, 23.0, 28.0, 6.0, 39.0, 9.0, 24.0, 16.0, 32.0, 17.0, 4.0, 40.0, 36.0, 5.0, 34.0, 27.0, 12.0, 20.0, 2.0, 8.0, 37.0, 10.0, 18.0, 14.0, 30.0, 25.0]
2428.0486321454614 -2625.0 [26.0, 4.0, 6.0, 23.0, 22.0, 12.0, 21.0, 31.0, 24.0, 41.0, 8.0, 3.0, 9.0, 19.0, 18.0, 13.0, 16.0, 35.0, 37.0, 7.0, 2.0, 17.0, 15.0, 42.0, 34.0, 5.0, 33.0, 29.0, 28.0, 25.0, 38.0, 32.0, 11.0, 27.0, 40.0, 39.0, 10.0, 14.0, 30.0, 1.0, 20.0, 36.0]
2222.707975855836 -2406.0 [37.0, 26.0, 41.0, 28.0, 12.0, 29.0, 22.0, 17.0, 40.0, 25.0, 1.0, 10.0, 3.0, 42.0, 11.0, 19.0, 20.0, 9.0, 30.0, 32.0, 5.0, 34.0, 33.0, 21.0, 18.0, 14.0, 6.0, 2.0, 38.0, 39.0, 23.0, 16.0, 13.0, 15.0, 24.0, 36.0, 35.0, 7.0, 4.0, 31.0, 8.0, 27.0]
2435.0686210503745 -2659.0 [36.0, 11.0, 23.0, 24.0, 5.0, 40.0, 1.0, 28.0, 12.0, 2.0, 7.0, 29.0, 14.0, 42.0, 37.0, 30.0, 32.0, 39.0, 4.0, 25.0, 22.0, 18.0, 19.0, 10.0, 20.0, 15.0, 17.0, 13.0, 38.0, 21.0, 8.0, 41.0, 35.0, 6.0, 31.0, 27.0, 33.0, 16.0, 34.0, 9.0, 3.0, 26.0]
2802.9473153000245 -3043.0 [36.0, 23.0, 14.0, 34.0, 16.0, 39.0, 31.0, 29.0, 21.0, 24.0, 11.0, 40.0, 8.0, 6.0, 17.0, 32.0, 30.0, 38.0, 5.0, 22.0, 19.0, 3.0, 42.0, 7.0, 2.0, 12.0, 13.0, 20.0, 15.0, 41.0, 37.0, 9.0, 27.0, 28.0, 4.0, 18.0, 35.0, 26.0, 10.0, 33.0, 1.0, 25.0]
2782.6412437542995 -2998.0 [40.0, 10.0, 20.0, 13.0, 29.0, 15.0, 2.0, 28.0, 7.0, 5.0, 32.0, 36.0, 12.0, 38.0, 33.0, 14.0, 17.0, 1.0, 35.0, 31.0, 39.0, 6.0, 42.0, 18.0, 37.0, 22.0, 27.0, 19.0, 11.0, 24.0, 4.0, 8.0, 30.0, 9.0, 23.0, 16.0, 21.0, 26.0, 34.0, 3.0, 25.0, 41.0]
