number,solution,distance,weight
0,"[29. 10. 14.  7. 15. 12. 28.  6. 21.  2. 24. 27. 20. 18.  4. 26. 23. 22.
 25. 11.  5.  3. 19.  9.  1. 13.  8. 16. 17.]",24226.2659775813,4324.0
1,"[28. 17. 10.  7. 12.  6. 15. 29. 21.  8. 14.  2. 16. 27. 26. 18. 23. 22.
  5. 25. 11. 24.  3. 19.  9.  1. 13. 20.  4.]",29449.345398997735,5270.0
2,"[17. 10.  7. 12.  6. 15. 29. 21.  8. 14.  2. 16. 27. 26. 18. 23. 22. 11.
 24.  3. 19.  9.  1. 13. 20.  5. 25.  4. 28.]",28692.25620337202,5133.0
3,"[29. 10. 14.  7.  2. 15. 12. 28.  6. 21. 24. 27. 20.  4. 26. 18. 23. 22.
 25. 11.  5.  3. 19.  9.  1. 13.  8. 16. 17.]",25620.34782552858,4576.0
4,"[15. 29.  8. 14. 16.  5. 12. 28.  6. 21.  2. 24. 27. 20.  4. 26. 18. 23.
 22. 25. 11. 13.  3. 19.  9.  1. 17. 10.  7.]",25965.02034854857,4641.0
5,"[ 5. 15. 12. 28.  6. 21.  2. 27. 20.  4. 26. 18. 23. 22. 17. 10.  7. 29.
  8. 25. 11. 24.  3. 19.  9.  1. 13. 14. 16.]",26930.097748866207,4812.0
6,"[29. 10. 14.  7. 15. 12. 28.  6. 21.  2. 24. 27. 20.  4. 26. 18. 23. 22.
 25. 11.  5.  3. 19.  9. 13.  1.  8. 16. 17.]",24810.012446958324,4432.0
7,"[28. 12.  6. 15. 21. 14.  2. 16. 27. 26. 18. 23. 22.  5. 24.  3. 19.  9.
  1. 25. 11. 13. 17. 10.  7. 29.  8. 20.  4.]",29066.867691998472,5196.0
8,"[29. 10. 14.  7. 15. 12. 28.  6. 21.  2. 24. 27. 20.  4. 26. 18. 23. 22.
 25. 11.  5.  3. 19.  9.  1. 13.  8. 16. 17.]",24720.079518767805,4413.0
9,"[ 5.  3. 19.  9.  1. 15. 12. 28.  6. 21.  2. 24. 27. 20.  4. 26. 18. 23.
 22. 25. 11. 13. 17. 10.  7. 29.  8. 14. 16.]",26729.351911968526,4773.0
