number,solution,distance,weight
0,"[ 4. 21. 23. 22.  1. 30. 36. 12. 27. 40. 37. 24. 11. 41.  2. 15. 29. 20.
 26.  6. 13. 17. 10. 18. 16. 31. 34.  9.  3.  7. 28. 38. 14. 19.  5. 33.
  8. 25. 35. 32. 42. 39.]",2577.605991154589,2745.0
1,"[39.  4. 23. 22.  1. 30. 36. 12. 37. 24. 11.  6. 13. 27. 40. 41. 18.  5.
 16. 31. 34.  9.  3.  7. 19.  2. 15. 29. 20. 26. 17. 38. 28. 10. 14. 33.
  8. 35. 25. 32. 42. 21.]",3335.588686496415,3553.0
2,"[22.  1. 30. 36.  8. 25. 35. 32. 42. 21. 39. 12. 37. 24. 11.  6. 13. 27.
 40. 41.  2. 18.  5. 15. 29. 16. 31. 34.  9.  3.  7. 19. 20. 26. 17. 38.
 28. 10. 14. 33.  4. 23.]",3070.0103526978737,3254.0
3,"[39.  4. 23. 22.  1. 30. 36. 12. 37. 24. 11.  6. 13. 27. 40. 41. 18.  5.
 16. 31. 34.  9.  3.  7. 19.  2. 15. 29. 20. 26. 17. 38. 28. 10. 14. 33.
  8. 25. 35. 32. 42. 21.]",3295.6476761170707,3506.0
4,"[ 4. 23. 22.  1. 30. 36. 12. 37. 24. 11.  6. 13. 27. 40. 41.  2. 18. 16.
 31. 34.  9.  3.  7. 15. 29. 20. 26. 17. 28. 10. 35. 42. 38. 14. 19.  5.
 33.  8. 25. 32. 21. 39.]",2761.6180471270177,2937.0
5,"[ 4. 23. 22.  1. 30. 36. 12. 37. 24. 11.  6. 13. 27. 40. 41.  2. 18.  5.
 16. 31. 34.  9.  3.  7. 19. 15. 29. 20. 26. 17. 38. 28. 10. 14. 33.  8.
 25. 35. 32. 42. 21. 39.]",3021.2450314071166,3200.0
6,"[23. 22.  1. 30. 36. 12. 37. 24. 11.  6. 13. 27. 40. 41. 18. 16. 31. 34.
  9.  3.  2. 15. 29. 20. 26. 17. 21.  7. 28. 38. 19.  5. 10. 14. 33.  8.
 25. 35. 32. 42. 39.  4.]",2912.0738683314203,3086.0
7,"[39.  4. 21. 23. 22.  1. 30. 36. 12. 27. 40. 37. 24. 11. 41.  2. 15. 29.
 20. 26.  6. 13. 17. 10. 18. 16. 31. 34.  9.  3.  7. 28. 38. 14. 19.  5.
 33.  8. 25. 32. 42. 35.]",2609.3823011885333,2786.0
8,"[39.  4. 21. 23. 22.  1. 30. 36. 12. 27. 40. 37. 24. 11. 41.  2. 15. 29.
 20. 26.  6. 13. 17. 10. 18. 16. 31. 34.  9.  3.  7. 28. 38. 14. 19.  5.
 33.  8. 25. 32. 42. 35.]",2609.3823011885333,2786.0
9,"[21. 23. 22.  1. 30. 36. 12. 27. 40. 37. 24. 11. 41.  2. 15. 29. 18.  5.
 20. 26.  6. 39. 13. 17. 10. 16. 31. 34.  9.  3.  7. 28. 38. 14. 19. 33.
  8. 25. 32. 42. 35.  4.]",2821.7936600842104,3008.0
