number,solution,distance,weight
0,"[100. 103.   4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.
  99.  31.  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77.
 109.  28.  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.
   1.  64.  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.
  25. 113.  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.
  79. 115.  48.  65.  16.  18.   3. 107. 120.  66.  69. 108.   6.  62.
  45.  82.  33.  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.
  97.  29.  67.  10.  73.  78.  23.  36. 114.  88.  42.  81.  86.  76.
  24.  39. 111.  90.  59.  15.  37.  54.]",10364.808920058027,49277.0
1,"[  4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.  99.  31.
  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77. 109.  28.
  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.   1.  64.
  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.  25. 113.
  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.  79. 115.
  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.  29.  67.
  90.  59.  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107.
 120.  66.  69. 108.   6.  62.  45.  82.  33.  88.  42.  81.  86.  76.
  24.  39. 111.  15.  37.  54. 100. 103.]",10815.986604335869,51780.0
2,"[  4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.  99.  31.
  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77. 109.  28.
  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.   1.  64.
  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.  25. 113.
  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.  79. 115.
  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.  29.  67.
  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107. 120.  66.
  69. 108.   6.  62.  45.  82.  33.  88.  42.  81.  86.  24.  39.  76.
 111.  90.  59.  15.  37.  54. 100. 103.]",10682.025077317043,51157.0
3,"[  4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.  99.  31.
  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77. 109.  28.
  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.   1.  64.
  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.  25. 113.
  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.  79. 115.
  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.  29.  67.
   6.  62.  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107.
 120.  66.  69. 108.  45.  82.  33.  88.  42.  81.  86.  24.  39.  76.
 111.  90.  59.  15.  37.  54. 100. 103.]",10497.277771121278,50401.0
4,"[  4.  20. 119. 106.  44.   6.  62.  83.  93.  51.  91.  40.   8.  11.
  99.  31.  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77.
 109.  28.  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.
   1.  64.  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.
  25. 113.  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.
  79. 115.  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.
  29.  67.  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107.
 120.  66.  69. 108.  45.  82.  33.  88.  42.  81.  86.  24.  39.  76.
 111.  90.  59.  15.  37.  54. 100. 103.]",10438.372277128832,50058.0
5,"[  4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.  99.  31.
  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77. 109.  28.
  53.   2.   6.  62.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.
   1.  64.  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.
  25. 113.  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.
  79. 115.  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.
  29.  67.  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107.
 120.  66.  69. 108.  45.  82.  33.  88.  42.  81.  86.  24.  39.  76.
 111.  90.  59.  15.  37.  54. 100. 103.]",10579.803726497988,50611.0
6,"[  4.  20. 119. 106.  44.   6.  62.  83.  93.  51.  91.  40.   8.  11.
  99.  31.  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77.
 109.  28.  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.
   1.  64.  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.
  25. 113.  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.
  79. 115.  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.
  29.  67.  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107.
 120.  66.  69. 108.  45.  82.  33.  88.  42.  81.  86.  24.  39.  76.
 111.  90.  59.  15.  37.  54. 100. 103.]",10438.372277128832,50058.0
7,"[  4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.  99.  31.
  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77. 109.  28.
  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.   1.  64.
  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.  25. 113.
  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.  79. 115.
  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.  29.  67.
  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107. 120.  66.
  69. 108.  59.  15.   6.  62.  45.  82.  33.  88.  42.  81.  86.  76.
  24.  39. 111.  90.  37.  54. 100. 103.]",10471.605025190791,50274.0
8,"[100. 103.   4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.
  99.  31.  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77.
 109.  28.  53.   2.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.
   1.  64.  32.   7.  43. 110. 116.  92. 101.  21.  60.  13.  49.  12.
  50. 104.  55.  75.  57.  87.  25. 113.  85. 112.  89.  95.  17.  70.
  41.  68. 105.  46.  94.  52.  79. 115.  58.  98.  74.  63.   5.  97.
  29.  67.  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107.
 120.  66.  69. 108.   6.  62.  45.  82.  33.  88.  42.  81.  86.  76.
  24.  39. 111.  90.  59.  15.  37.  54.]",10460.097634338976,50145.0
9,"[  4.  20. 119. 106.  44.  83.  93.  51.  91.  40.   8.  11.  99.  31.
  61.  30.  38.  14.  26.  27.  22.  34.  96.   9.  80.  77. 109.  28.
  53.   2.   6.  62.  56.  72.  84.  71. 102.  47. 118. 117.  19.  35.
   1.  64.  32.   7.  43. 110. 116.  92. 101.  21.  55.  75.  57.  87.
  25. 113.  85. 112.  89.  95.  17.  70.  41.  68. 105.  46.  94.  52.
  79. 115.  58.  60.  13.  49.  12.  50. 104.  98.  74.  63.   5.  97.
  29.  67.  10.  73.  78.  23.  36. 114.  48.  65.  16.  18.   3. 107.
 120.  66.  69. 108.  45.  82.  33.  88.  42.  81.  86.  24.  39.  76.
 111.  90.  59.  15.  37.  54. 100. 103.]",10579.803726497988,50611.0
